open_space_id,name,latitude,longitude,category
33048,Nature Reserve - Mornington (85),-38.37399683868744,144.78197409294503,nature
33053,Milton Reserve,-38.37293074360059,144.7964948458322,park
33055,Nature Reserve - Mornington (86),-38.377114750305886,144.78175863288266,nature
33057,Charles Street Reserve (2),-38.37688163446174,144.81106970749383,nature
33060,Walking Trail - Mornington (39),-38.373157809699876,144.8411946285837,trail
33092,Deakin Drive Bushland Reserve,-38.27638263967031,145.00303946520873,bushland
33099,Nature Reserve - Mornington (87),-38.37360643442806,145.22258005334416,nature
33102,Helen St Mount Martha walkway,-38.25393513272759,145.0529194009202,trail
33106,Mount Martha (2),-38.25673450520516,145.0472003613448,trail
33108,Harrap Rd Drain frontage Mount Martha,-38.257193929747906,145.0464291296672,nature
33111,Walking Trail - Mornington (40),-38.34913167038138,145.1729685064169,trail
33113,Nature Reserve - Mornington (88),-38.339500418734836,145.17017516190018,nature
33114,Carool Ct Mount Martha pathway,-38.29224629605168,144.99177663108907,trail
33116,Hull Rd Mount Martha bushland,-38.28278012243791,145.01330482498972,bushland
33120,Mount Martha (3),-38.253760124091755,145.05649370353677,park
33121,Haig Street Bittern,-38.35709419401937,145.15321249560537,park
33125,Red Hill Recreation Reserve,-38.36747704174329,145.01338891751138,active_sport
33135,Ian Road Bushland Reserve,-38.29678863756126,144.99318895043223,bushland
33143,Somerset/Dorset Reserve,-38.28072166319862,145.01998087758966,trail
33144,Hopetoun/ Norfolk Flora & Fauna Reserve,-38.27278107450423,145.02787662937192,trail
33145,Ferrero Reserve (2),-38.267227122329224,145.02469539346535,nature
33146,Clarkes Avenue Reserve,-38.253731899530514,145.02924049146418,trail
33147,Citation Reserve (2),-38.2634253997045,145.0331057210173,nature
33148,Fairbairn Park (2),-38.28378096828646,145.01030593542603,nature
33153,Ruby Joy Dr Somerville pathway,-38.23109101816655,145.18518256655958,trail
33159,Bald Hill Nature Conservation Reserve,-38.35012609518353,145.0219750155552,nature
33161,Red Hill South Bushland Reserve,-38.37774501203085,145.02785816994722,bushland
33163,Bracken Ridge Bushland Reserve,-38.345843986804006,144.95605640292248,bushland
33165,Tourism And Public Buildings Reserve,-38.3371476960527,144.95621076375306,park
33171,Peninsula Link Trail,-38.211371425276646,145.12205203130006,trail
33172,Baxter - Morinington branch line (2),-38.20713858206574,145.1350222377842,trail
33175,Mornington-Mt Martha Foreshore Reserve,-38.25799451912293,145.02192980270323,nature
33176,Arthurs Seat State Park,-38.35389984732447,144.98210377341692,nature
33197,Somerville Recreation Reserve,-38.22975910370808,145.17556459884364,active_sport
33201,Plantation Reserve & Walkways Eramosa Road West,-38.222233405296734,145.16195992896493,trail
33207,SEW various pipelines/ drainage,-38.18692767143794,145.08870887953907,trail
33208,Howard Parker Reserve (2),-38.18197070500812,145.08675043504036,active_sport
33212,Wattle Gully Close Reserve,-38.23812787896353,145.18403083697802,park
33213,Somerville Bushland Reserve,-38.22701833051879,145.15418982971818,bushland
33219,Dromana Bushland Reserve,-38.340743749166165,144.94768533920902,bushland
33222,Seamists Drive Reserve,-38.3707154629016,144.94310298361793,nature
33223,Warringine Heritage Park (2),-38.322817924673316,145.18679891057053,nature
33225,Mornington Peninsula National Park,-38.43950087917779,144.93214071685196,nature
33241,Legacy Drive Reserve,-38.277916555713226,145.01311403654063,nature
33247,Walking Trail - Mornington (41),-38.243083853549514,145.0580812285052,trail
33250,Oak Ridge Recreation Reserve (2),-38.219738634980914,145.06711426277136,park
33251,Mornington-Baxter Tourist Railway Line,-38.22795701217146,145.05857194124812,trail
33252,Tanti Creek Reserve,-38.22270164893629,145.04745743894827,nature
33253,Mornington Foreshore,-38.21502931370213,145.03741094065055,nature
33254,Unnamed Stream Frontage - Mornington,-38.215267676775255,145.0394198966095,nature
33255,Robertson Park And Caravan Park,-38.38999611940572,145.1235651980601,active_sport
33259,Benbenjie Reserve,-38.35832202186511,144.93318642368246,park
33267,Walking Trail - Mornington (42),-38.38569369615466,144.9207285330219,trail
33268,Shoreham Hall,-38.42773451055532,145.04566505162236,park
33275,Mirramar Road Reserve (2),-38.3969767270592,145.17963197478318,trail
33290,Point King Foreshore Reserve,-38.324798528504836,144.73871543420594,nature
33291,Sorrento Historic Park,-38.335082927641345,144.74137734138733,nature
33292,Active Sport Facility - Mornington (4),-38.33666422304104,144.73727643706647,active_sport
33294,Sunken Memorial Garden,-38.3406282172388,144.7361877942878,park
33297,Stringer Road Reserve (2),-38.362027482694955,144.76404961077992,active_sport
33299,Nature Reserve - Mornington (89),-38.179403822190196,145.09669194779866,nature
33300,Nature Reserve - Mornington (90),-38.17980103826059,145.09651739654277,nature
33301,Nature Reserve - Mornington (91),-38.17900393861964,145.09678042622207,nature
33302,Nature Reserve - Mornington (92),-38.18019355929817,145.09637645494828,nature
33303,Mt Eliza Foreshore Reserve,-38.167280220833064,145.0874750910497,nature
33312,Mornington Foreshore Reserve,-38.20506183444105,145.0555965222543,nature
33326,Port of Hastings,-38.30913231111706,145.21915956682204,nature
33328,Adjacent Tyabb Park,-38.259934461950564,145.1658961442343,nature
33330,Balcombe Creek Bushland Reserve,-38.2572375216169,145.06820962754028,bushland
33332,Seaside Creek frontage Mount Martha,-38.28994347241404,144.9919987518246,nature
33335,Craigie Road Bushland Reserve,-38.260535455248764,145.0458394755393,bushland
33336,Dunns Road Reserve,-38.252819922551886,145.04213453097296,park
33337,Sheoak Grove Reserve,-38.295633753675,144.99037833822763,nature
33338,Mount Martha - Ferrero Reserve,-38.265723045166524,145.02508074038627,active_sport
33341,Nature Reserve - Mornington (93),-38.25650394908804,145.04692072676937,nature
33342,Nature Reserve - Mornington (94),-38.25761843266017,145.0464710359897,nature
33343,Balcombe Creek Water Frontage,-38.26526538255594,145.03283685486917,nature
33345,Active Sport Facility - Mornington (5),-38.45082327925112,144.913708473643,active_sport
33353,Lens Reserve (2),-38.3499963393829,145.18148911667078,nature
33354,Nature Reserve - Mornington (95),-38.33947547454981,145.17124472266607,nature
33380,Cypress Close Reserve,-38.30397719275368,145.1759248802861,trail
33401,Nature Reserve - Mornington (96),-38.36475779258357,144.79476166551137,nature
33403,Rosebud Foreshore,-38.35818814475539,144.89311794692918,nature
33404,Nature Reserve - Mornington (97),-38.351418347916564,144.91980373813223,nature
33407,French Street Reserve,-38.38382594904445,144.8050704045842,nature
33409,Tootgarook Wetlands,-38.37579059614501,144.86357981350233,wetland
33413,Olympic Park (3),-38.36969766490959,144.89518146808086,active_sport
33417,Lighthouse Park (McCrae Village),-38.34785088681816,144.92908452977548,park
33418,William Hunter Reserve,-38.376023385816225,144.91509910956736,nature
33420,Western Port Coastal Reserve,-38.303401340408804,145.19373064440094,park
33421,Western Port Coastal Reserve (2),-38.25551472384482,145.24296278945,nature
33437,Nature Reserve - Mornington (98),-38.34590680530969,144.96762502349506,nature
33438,Nature Reserve - Mornington (99),-38.346072783850644,144.9461231942616,nature
33439,Nature Reserve - Mornington (100),-38.34553264339974,144.94725883309115,nature
33440,Nature Reserve - Mornington (101),-38.345396778090105,144.94764332172855,nature
33441,Nature Reserve - Mornington (102),-38.345171764477406,144.94827833510456,nature
33455,Tuckey Track Reserve (2),-38.3498908882512,144.7508240621717,nature
33456,Tuckey Track Reserve (3),-38.35088077515714,144.7494836386007,park
33460,Somers coastal foreshore,-38.39601833061349,145.1724101434356,nature
33461,Rosyth Road Reserve,-38.35851554085187,145.1528514044461,park
33462,Jetty Rd Rosebud bushland,-38.387537885104095,144.9186304979334,bushland
33463,Duells Rd bushland,-38.38685445472442,144.9303975383823,bushland
33464,Sherwood Avenue Bushland Reserve,-38.38125135065848,144.91785162771507,bushland
33469,Rosebud Bushland Reserve,-38.370870530816845,144.92010184515559,bushland
33475,Nature Reserve - Mornington (103),-38.28795367235284,145.0122579142704,nature
33477,Tyabb Central Reserve (2),-38.262037751506135,145.18884473147736,active_sport
33478,Racecourse Rd Mount Martha roadside plantation and path,-38.25192172382552,145.05780933199395,trail
33480,Walking Trail - Mornington (43),-38.25545230618772,145.04702067350485,trail
33482,Tolmie Way,-38.2490727307233,145.04911596859654,trail
